event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E1,April 2023 Iberian heatwave,China (Coal),nation_state,14.01,2394458.9879102106,2993073.734887763,4190303.2288428675
E1,April 2023 Iberian heatwave,Former Soviet Union,nation_state,6.82,1170241.1839538459,1462801.4799423073,2047922.0719192298
E1,April 2023 Iberian heatwave,Saudi Aramco,state_owned,3.63,596167.9569982985,745209.9462478732,1043293.9247470223
E1,April 2023 Iberian heatwave,Chevron,investor_owned,2.98,501466.35829683125,626832.947871039,877566.1270194546
E1,April 2023 Iberian heatwave,ExxonMobil,investor_owned,2.79,477275.61701521446,596594.5212690181,835232.3297766253
E1,April 2023 Iberian heatwave,Gazprom,state_owned,2.31,439010.42010071996,548763.0251258999,768268.2351762598
E1,April 2023 Iberian heatwave,National Iranian Oil Co.,state_owned,2.22,373401.80384284415,466752.2548035552,653453.1567249772
E1,April 2023 Iberian heatwave,BP,investor_owned,2.19,368360.9834254073,460451.2292817591,644631.7209944627
E1,April 2023 Iberian heatwave,Shell,investor_owned,2.06,352285.78979179444,440357.23723974306,616500.1321356402
E1,April 2023 Iberian heatwave,Coal India,state_owned,1.49,254561.43108055834,318201.7888506979,445482.50439097703
E1,April 2023 Iberian heatwave,Poland,nation_state,1.46,249009.5996586048,311261.999573256,435766.7994025583
E1,April 2023 Iberian heatwave,Pemex,state_owned,1.32,220834.70478245028,276043.38097806287,386460.7333692879
E1,April 2023 Iberian heatwave,Russian Federation,nation_state,1.19,202776.09555503493,253470.11944379366,354858.1672213111
E1,April 2023 Iberian heatwave,China (Cement),nation_state,1.31,200602.133484972,250752.66685621502,351053.73359870096
E1,April 2023 Iberian heatwave,ConocoPhillips,investor_owned,1.01,175146.8564972628,218933.5706215785,306506.99887020985
E1,April 2023 Iberian heatwave,British Coal Corporation,investor_owned,1.0,171015.46244379657,213769.3280547457,299277.0592766439
E1,April 2023 Iberian heatwave,CNPC (PetroChina),state_owned,0.97,164138.46689148588,205173.08361435734,287242.3170601002
E1,April 2023 Iberian heatwave,Peabody Coal Group,investor_owned,0.9,153606.4434763602,192008.05434545025,268811.2760836303
E1,April 2023 Iberian heatwave,TotalEnergies,investor_owned,0.9,152298.60175293585,190373.25219116983,266522.5530676377
E1,April 2023 Iberian heatwave,Abu Dhabi National Oil Company,state_owned,0.9,150557.69985619222,188197.12482024028,263475.97474833636
E1,April 2023 Iberian heatwave,Petroleos de Venezuela,state_owned,0.88,146382.99978539406,182978.74973174257,256170.24962443957
E1,April 2023 Iberian heatwave,Kuwait Petroleum Corp.,state_owned,0.84,137903.68159180193,172379.6019897524,241331.44278565331
E1,April 2023 Iberian heatwave,Iraq National Oil Company,state_owned,0.81,131546.35824747442,164432.94780934302,230206.12693308017
E1,April 2023 Iberian heatwave,Sonatrach,state_owned,0.735,129528.2978398064,161910.372299758,226674.52121966117
E1,April 2023 Iberian heatwave,Rosneft,state_owned,0.75,123811.90355199149,154764.87943998937,216670.83121598506
E1,April 2023 Iberian heatwave,Occidental Petroleum,investor_owned,0.65,111790.15314064738,139737.69142580923,195632.76799613287
E1,April 2023 Iberian heatwave,BHP,investor_owned,0.56,95637.008675837,119546.26084479626,167364.76518271473
E1,April 2023 Iberian heatwave,Petrobras,state_owned,0.56,93532.33623350515,116915.42029188144,163681.58840863398
E1,April 2023 Iberian heatwave,CONSOL Energy,investor_owned,0.53,90856.02436239179,113570.03045298974,158998.0426341856
E1,April 2023 Iberian heatwave,Nigerian National Petroleum Corp.,state_owned,0.53,88716.70710619439,110895.88388274299,155254.23743584016
E1,April 2023 Iberian heatwave,Czechoslovakia,nation_state,0.49,83303.45493970298,104129.31867462872,145781.0461444802
E1,April 2023 Iberian heatwave,Petronas,state_owned,0.45,79076.78764810649,98845.9845601331,138384.37838418633
E1,April 2023 Iberian heatwave,Eni,investor_owned,0.45,78600.42145745525,98250.52682181906,137550.73755054665
E1,April 2023 Iberian heatwave,QatarEnergy,state_owned,0.42,72797.41513497646,90996.76891872057,127395.47648620878
E1,April 2023 Iberian heatwave,Pertamina,state_owned,0.42,71628.15266701432,89535.19083376789,125349.26716727503
E1,April 2023 Iberian heatwave,Anglo American,investor_owned,0.41,70701.40389611099,88376.75487013873,123727.4568181942
E1,April 2023 Iberian heatwave,Libya National Oil Corp.,state_owned,0.43,70554.16343718242,88192.70429647801,123469.7860150692
E1,April 2023 Iberian heatwave,Arch Resources,investor_owned,0.4,69021.13042363206,86276.41302954007,120786.97824135608
E1,April 2023 Iberian heatwave,Lukoil,investor_owned,0.41,67860.52915913629,84825.66144892036,118755.92602848848
